Outcome,Sequence,Num_Passes,Pass_Outcomes
Success,Van der Sar → Ferdinand → Giggs → Rooney → Evra → Carrick → Chicharito,6,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Park → Carrick → Chicharito,3,"[{'from': 'Van der Sar', 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Valencia → Carrick → Chicharito,4,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Valencia → Ferdinand → Carrick → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Valencia → Rooney → Evra → Park → Carrick → Evra → Vidić → Carrick → Chicharito,9,"[{'from': 'Van der Sar', 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Carrick → Chicharito,3,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Giggs → Park → Valencia → Rooney → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
